Nr.;Formula;(set) top10;(set) top300;example
81;{\partial{L}\over\partial q_{i}}={\mathrm{d}\over\mathrm{d}t}{\partial{L}\over%\partial{\dot{q_{i}}}};;;
82;x_{7};;;
83;\Pi_{n};;;
84;\sigma^{2}=X^{T}VX;;;
85;"\int_{\mathbb{R}^{n}}f\,dx=\int_{0}^{\infty}\left\{\int_{\partial B(x_{0};r)}f%\,dS\right\}\,dr";;;
86;\commutator{x}{p_{x}}=\commutator{y}{p_{y}};;;
87;G_{k,\sigma}(y)=1-(1+ky/\sigma)^{-1/k};;;
88;L(H_{B})\otimes C(X);;;
89;\pi_{i}=2^{-N}\tbinom{N}{i};;;
90;(\sqrt{p_{1}},\cdots,\sqrt{p_{n}});;;
91;s;;;
92;J^{T}W\Delta y;;;
93;\bar{V}^{*};;;
94;\frac{(n+\delta-1)(n+\delta-2)\cdots n}{(\delta-1)!};;;
95;y_{k}[n];;;
96;"\abs{f(a+\alpha,b+\beta)-f(a,b)}&lt;\epsilon";;;
97;\LeviCivita{j}{k}{\ell}\LeviCivita{\ell}{m}{n}=\Kronecker{j}{m}\Kronecker{k}{n%}-\Kronecker{j}{n}\Kronecker{k}{m};;;
98;\phase@{z}=\theta+2n\cpi;;;
99;z^{n}=\left(x^{n}-\binom{n}{2}x^{n-2}y^{2}+\binom{n}{4}x^{n-4}y^{4}-\cdots%\right)+i\left(\binom{n}{1}x^{n-1}y-\binom{n}{3}x^{n-3}y^{3}+\cdots\right);;;
100;\ln@{1+z}=\Sum{k}{1}{\infty}@{(-1)^{k-1}\frac{z^{k}}{k}};;;
101;P(z)=\Prod{n}{1}{\infty}@{\left(1-\frac{z}{z_{n}}\right)e^{\ifrac{z}{z_{n}}}};;;
102;A=\sqrt[3]{-\tfrac{27}{2}q+\tfrac{3}{2}\sqrt{-3D}};;;
103;A_{n}B_{n-1}-B_{n}A_{n-1}=(-1)^{n-1}\Prod{k}{1}{n}@{a_{k}};;;
104;Aw_{1}(z)+Bw_{2}(z)=0;;;
105;f(x)=\Sum{k}{0}{\infty}@{a_{k}x^{k}};;;
106;I(x)=-\Sum{s}{0}{2n}@{(a_{s}\ln@{x}+b_{s})x^{-s}}+\bigO@{x^{-2n-1+\epsilon}};;;
107;\infix{\asympexp}{h(t)}{\exp@{\iunit\kappa t^{p}}\Sum{s}{0}{\infty}@{b_{s}t^{-%\beta_{s}}}};;;
108;\expe^{\lambda_{j}z}z^{\mu_{j}}\Sum{s}{0}{\infty}@{\frac{a_{s,j}}{z^{s}}};;;
109;w=\expe^{-f_{0}\ifrac{z}{2}}W;;;
110;\EulernumberE{2n+1}=0;;;
111;\BernoullipolyB{n}@{mx}=m^{n-1}\Sum{k}{0}{m-1}@{\BernoullipolyB{n}@{x+\frac{k}%{m}}};;;
112;\int\EulerpolyE{n}@{t}\diff{t}=\frac{\EulerpolyE{n+1}@{t}}{n+1}+\text{const.},;;;
113;\HankelmodM{\nu}^{2}@{x}\asympexp\frac{2}{\cpi x}\left(1+\frac{1}{2}\frac{\mu-%1}{(2x)^{2}}+\frac{1\cdot 3}{2\cdot 4}\frac{(\mu-1)(\mu-9)}{(2x)^{4}}+\frac{1%\cdot 3\cdot 5}{2\cdot 4\cdot 6}\frac{(\mu-1)(\mu-9)(\mu-25)}{(2x)^{6}}+\cdots\right);;;
114;\infix{\asympexp}{\HankelmodderivN{\nu}^{2}@{x}}{\frac{2}{\cpi x}\left(1-\frac%{1}{2}\frac{\mu-3}{(2x)^{2}}-\frac{1}{2\cdot 4}\frac{(\mu-1)(\mu-45)}{(2x)^{4}%}-\cdots\right)};;;
115;\BesselJ{\nu}'@{z}=\frac{(\tfrac{1}{2}z)^{\nu-1}}{2\EulerGamma@{\nu}}\Prod{k}{%1}{\infty}@{\left(1-\frac{z^{2}}{\zderivBesselj{\nu}{k}^{2}}\right)};;;
116;\infix{\asympexp}{\BesselJ{\nu}'@{\zBesselj{\nu}{m}}}{(-1)^{m}\frac{(\ifrac{2}%{\nu})^{\frac{2}{3}}}{\cpi\AirymodM@{\zAirya{m}}}\Sum{k}{0}{\infty}@{\frac{%\beta_{k}}{\nu^{\ifrac{2k}{3}}}}};;;
117;\BesselJ{\nu}@{\zBesselj{\nu}{m}'}=\frac{h(\zeta)\AiryAi@{\zderivAirya{m}}}{%\nu^{\frac{1}{3}}}\left(1+\bigO@{\frac{1}{\nu^{\frac{4}{3}}}}\right);;;
118;\BesselJ{\nu}'@{x}\BesselY{\nu}@{\lambda x}-\BesselY{\nu}'@{x}\BesselJ{\nu}@{%\lambda x};;;
119;\int_{0}^{\infty}\frac{t^{\nu+1}\BesselJ{\nu}@{at}}{(t^{2}+b^{2})^{\mu+1}}%\diff{t}=\frac{a^{\mu}b^{\nu-\mu}}{2^{\mu}\EulerGamma@{\mu+1}}\modBesselK{\nu-%\mu}@{ab};;;
120;\BesselC{\nu}@{u\pm v}=\Sum{k}{-\infty}{\infty}@{\BesselC{\nu\mp k}@{u}%\BesselJ{k}@{v}};;;
121;\BesselJtilde{\nu}@{x}=\left(\frac{2\tanh@{\frac{1}{2}\pi\nu}}{\pi\nu}\right)^%{\frac{1}{2}}\cos@{\nu\ln@{\tfrac{1}{2}x}-\gamma_{\nu}}+\BigO(x^{2});;;
122;\infix{\asympexp}{\modBesselK{\nu}@{z}}{\left(\frac{\cpi}{2z}\right)^{\frac{1}%{2}}\expe^{-z}\Sum{k}{0}{\infty}@{\frac{a_{k}(\nu)}{z^{k}}}};;;
123;\HankelmodderivN{\nu}@{x}\expe^{\iunit\!\Hankelphasederivphi{\nu}@{x}}=%\Kelvinker{\nu}@{x}+\iunit\Kelvinkei{\nu}@{x};;;
124;a=-n-\frac{2}{\cpi}\sqrt{zn}-\frac{2z}{\cpi^{2}}+\tfrac{1}{2}b+\tfrac{1}{4}+%\frac{z^{2}\left(\frac{1}{3}-4\cpi^{-2}\right)+z-(b-1)^{2}+\frac{1}{4}}{4\cpi%\sqrt{zn}}+\bigO@{\frac{1}{n}};;;
125;\f{\left(z\deriv{}{z}z\right)^{n}}@{\left(\expe^{-\frac{1}{2}z}z^{\kappa-1}%\WhittakerconfhyperM{\kappa}{\mu}@{z}\right)}=\pochhammer{\tfrac{1}{2}+\mu+%\kappa}{n}\expe^{-\frac{1}{2}z}z^{\kappa+n-1}\*\WhittakerconfhyperM{\kappa+n}{%\mu}@{z};;;
126;\frac{1}{2\cpi\iunit}\int_{-\infty}^{(0+)}\expe^{zt+\frac{1}{2}t^{-1}}t^{%\kappa}\WhittakerconfhyperW{\kappa}{\mu}@{t^{-1}}\diff{t}=\frac{2z^{-\kappa-%\frac{1}{2}}}{\EulerGamma@{\frac{1}{2}+\mu-\kappa}\EulerGamma@{\frac{1}{2}-\mu%-\kappa}}\modBesselK{2\mu}@{2\sqrt{z}};;;
127;\irregCoulombh@{\epsilon}{\ell}{r}=\left(\frac{2}{\cpi\tau}\frac{A(\epsilon,%\ell)}{1-\expe^{\ifrac{-2\cpi}{\tau}}}\right)^{\ifrac{1}{2}}\irregCoulombG{%\ell}@{\ifrac{-1}{\tau}}{\tau r};;;
128;N(n,k)=\frac{1}{n}\binom{n}{k}\binom{n}{k-1};;;
129;"A_{k}(n)=\sum_{\begin{subarray}{c}1&lt;h\leq k\pgcd{h,k}=1\end{subarray}}e^{\pi if%(h,k)-(2\pi in\ifrac{h}{k})}";;;
130;\StirlingnumberS@{n}{m}=\frac{1}{m!}\Sum{k}{0}{n-1}@{\Euleriannumber{n}{k}%\binom{k}{n-m}};;;
131;\deriv[2]{w}{z}=aw;;;
132;2\sin@{u}\sin@{v}=\cos@{u-v}-\cos@{u+v};;;
133;\cos^{2}@{u}-\cos^{2}@{v}=-\sin@{u+v}\sin@{u-v};;;
134;\aGudermannian@{x}=\ln@{\tan@{\tfrac{1}{2}x+\tfrac{1}{4}\cpi}};;;
135;\Asinh@{z}=(-1)^{k}\asinh@{z}+k\cpi\iunit;;;
136;\asinh@{z}=\ln@{2z}+\frac{1}{2}\frac{1}{2z^{2}}-\frac{1\cdot 3}{2\cdot 4}\frac%{1}{4z^{4}}+\frac{1\cdot 3\cdot 5}{2\cdot 4\cdot 6}\frac{1}{6z^{6}}-\cdots;;;
137;\ln@{x}=2^{m}\ln@{1+y};;;
138;\compellintEk@{\ifrac{\sqrt{1-{k}^{2}}}{\iunit k}}=(\ifrac{1}{k})\compellintEk%@{\sqrt{1-k^{2}}};;;
139;\partial_{j}\Carlsonmultivarhyper{-a}@{\mathbf{b}}{\mathbf{z}}=-aw_{j}%\Carlsonmultivarhyper{-a-1}@{\mathbf{b}+\mathbf{e}_{j}}{\mathbf{z}};;;
140;\CarlsonsymellintRJ@{0}{y}{z}{\pm\sqrt{yz}}=\pm\frac{3}{2\sqrt{yz}}%\CarlsonsymellintRF@{0}{y}{z};;;
141;"\EllIntR{a}@{\mathbf{b}}{\mathbf{z}}\EllIntR{-a}@{\mathbf{b}}{\mathbf{z}}&gt;1";;;
142;\compellintPik@{\alpha^{2}}{k}-\compellintKk@{k}=\tfrac{1}{3}\alpha^{2}%\CarlsonsymellintRJ@{0}{(1-k^{2})}{1}{1-\alpha^{2}};;;
143;(x-y)^{2}U=\left(\sqrt{x^{4}+a^{4}}+\sqrt{y^{4}+a^{4}}\right)^{2}-(x^{2}-y^{2}%)^{2};;;
144;\Fresnelcosint@{z}\pm\iunit\Fresnelsinint@{z}=\tfrac{1}{2}(1\pm\iunit)\erf@{\zeta};;;
145;\Im\digamma(\tfrac{1}{2}+\mathrm{i}y)=\frac{\pi}{2}\tanh\left(\pi y\right);;;
146;\EulerGamma@{z}\EulerGamma@{1-z}=\ifrac{\pi}{\sin@{\pi z}};;;
147;\digamma(1+z)=-\EulerConstant+\Sum{k}{2}{\infty}@{(-1)^{k}\RiemannZeta@{k}z^{k%-1}};;;
148;\digamma{\frac{z+1}{2}}-\digamma{\frac{z}{2}}=2\Sum{k}{0}{\infty}@{\frac{(-1)^%{k}}{k+z}};;;
149;\Ln@{\EulerGamma@{z}}=\left(z-\tfrac{1}{2}\right)\ln@{z}-z+\tfrac{1}{2}\ln@{2%\pi}+2\int_{0}^{\infty}\frac{\atan@{\ifrac{t}{z}}}{e^{2\pi t}-1}\diff{t},;;;
150;a_{0}=\tfrac{1}{12};;;
151;\int_{P}^{(1+,0+,1-,0-)}t^{a-1}(1-t)^{b-1}\diff{t}=-4e^{\pi i(a+b)}\sin@{\pi a%}\sin@{\pi b}\EulerBeta@{a}{b};;;
152;"W=-\sum_{1\leq\ell&lt;j\leq n}\ln@{|e^{i\theta_{\ell}}-e^{i\theta_{j}}|}";;;
153;K_{j}c_{j-1}+L_{j}c_{j}+M_{j}c_{j+1}=0;;;
154;R_{j}=\frac{(n-j)(j+n+\gamma+\delta)(j+\gamma)(j+\delta)}{(\gamma+\delta+2j)(%\gamma+\delta+2j+1)};;;
155;\lim_{z\to 1-}\frac{\HypergeoF@{a}{b}{c}{z}}{(1-z)^{c-a-b}}=\frac{\EulerGamma@%{c}\EulerGamma@{a+b-c}}{\EulerGamma@{a}\EulerGamma@{b}};;;
156;\HypergeoF@{1}{a}{a+1}{-1}=\tfrac{1}{2}a\left(\digamma(\tfrac{1}{2}a+\tfrac{1}%{2})-\digamma(\tfrac{1}{2}a)\right);;;
157;\HypergeoF@{a}{1-a}{c}{z}=(1-z)^{c-1}\HypergeoF@{\frac{1}{2}(c-a)}{\frac{1}{2}%(a+c-1)}{c}{4z(1-z)};;;
158;\CanonicIntU@{\mathbf{x}}=\int_{-\infty}^{\infty}\int_{-\infty}^{\infty}\exp@{%i\UmbilicCatU@{s}{t}{\mathbf{x}}}\diff{s}\diff{t};;;
159;x=y=-\tfrac{1}{4}z^{2};;;
160;c_{0}(0)=-\tfrac{1}{3};;;
161;\pderiv[j]{\ExpIntn{p}@{z}}{p}=(-1)^{j}\int_{1}^{\infty}(\ln@{t})^{j}t^{-p}e^{%-zt}\diff{t};;;
162;\Jacobiam@{x}{k}=\int_{0}^{x}\Jacobidn@{t}{k}\diff{t};;;
163;\deriv[2]{\theta(t)}{t}=-\sin@{\theta(t)};;;
164;\ccompellintKk@{k}=\frac{\cpi}{2M(1,k)};;;
165;\deriv[2]{w}{z^{\prime}}+(h^{\prime}-\nu(\nu+1)(1-k^{2})\Jacobisn^{2}@{z^{%\prime}}{{\sqrt{1-k^{2}}}})w=0;;;
166;\Lameb{2m+1}{\nu}@{k^{2}}=\tfrac{1}{2}(H_{m}+\nu(\nu+1)k^{2});;;
167;\FerrersQ[]{n}@{\cos@{\theta}}=\frac{2^{2n+1}(n!)^{2}}{(2n+1)!}\*\Sum{k}{0}{%\infty}@{\frac{1\cdot 3\cdots(2k-1)}{k!}\*\frac{(n+1)(n+2)\cdots(n+k)}{(2n+3)(%2n+5)\cdots(2n+2k+1)}\*\cos@{(n+2k+1)\theta}};;;
168;\LegendreP[m]{n-\frac{1}{2}}@{\cosh@{\xi}}=\frac{\EulerGamma@{n+m+\tfrac{1}{2}%}}{\EulerGamma@{n-m+\tfrac{1}{2}}}\*\left(\frac{2}{\pi\sinh@{\xi}}\right)^{%\ifrac{1}{2}}\LegendreBlackQ[n]{m-\frac{1}{2}}@{\coth@{\xi}};;;
169;{\left(\alpha^{2}+\eta\right)^{\ifrac{1}{2}}+\tfrac{1}{2}\alpha\ln@{\eta}-%\alpha\ln@{\left(\alpha^{2}+\eta\right)^{\ifrac{1}{2}}+\alpha}}={\acos@{\frac{%x}{\left(1+\alpha^{2}\right)^{\ifrac{1}{2}}}}+\frac{\alpha}{2}\ln@{\frac{1+%\alpha^{2}+\left(\alpha^{2}-1\right)x^{2}-2\alpha x\left(1+\alpha^{2}-x^{2}%\right)^{\ifrac{1}{2}}}{\left(1+\alpha^{2}\right)\left(1-x^{2}\right)}}};;;
170;\infix{\asympexp}{U_{m}(\xi)}{\WhittakerparaD{m}@{\xi}-\frac{1}{2^{6}h}\left(%\WhittakerparaD{m+4}@{\xi}-4!\dbinom{m}{4}\WhittakerparaD{m-4}@{\xi}\right)+%\frac{1}{2^{13}h^{2}}\left(\WhittakerparaD{m+8}@{\xi}-2^{5}(m+2)%\WhittakerparaD{m+4}@{\xi}+4!\,2^{5}(m-1)\dbinom{m}{4}\WhittakerparaD{m-4}@{%\xi}+8!\binom{m}{8}\WhittakerparaD{m-8}@{\xi}\right)+\cdots,};;;
171;S_{p}^{m}(x,\xi)\to\sin@{mx};;;
172;4(\boldsymbol{{\eta}}^{1}(T_{1})\cdot\boldsymbol{{\eta}}^{2}(T_{2})-%\boldsymbol{{\eta}}^{2}(T_{1})\cdot\boldsymbol{{\eta}}^{1}(T_{2}))=|T_{1}\cap T%_{2}|;;;
173;\MangoldtLambda@{n}=\ln@{p};;;
174;\Sum{n}{1}{\infty}@{f(n)}=\prod_{p}(1-f(p))^{-1};;;
175;n=x_{1}^{2}+x_{2}^{2}+\dots+x_{k}^{2};;;
176;\ChebyU{4}@{x}=16x^{4}-12x^{2}+1;;;
177;"{(n+\lambda)^{1-\lambda}(1-x^{2})^{\frac{1}{2}\lambda}|\Ultraspherical{\lambda%}{n}@{x}|&lt;\frac{2^{1-\lambda}}{\EulerGamma@{\lambda}}}";;;
178;\int_{0}^{1}\LegendrePoly{n}@{1-2x^{2}}\sin@{xy}\diff{x}=\tfrac{1}{2}\pi\left(%\BesselJ{n+\frac{1}{2}}@{\tfrac{1}{2}y}\right)^{2};;;
179;\Sum{\ell}{0}{n}@{\ChebyT{\ell}@{x}x^{n-\ell}}=\ChebyU{n}@{x};;;
180;p_{n}(x)=\WilsonW{n}@{x}{a_{1}}{a_{2}}{a_{3}}{a_{4}};;;
181;\ParabolicU@{a}{z}=\frac{e^{-\frac{1}{4}z^{2}}}{\EulerGamma@{\frac{3}{4}+\frac%{1}{2}a}}\*\int_{0}^{\infty}t^{\frac{1}{2}a-\frac{1}{4}}e^{-t}\left(z^{2}+2t%\right)^{-\frac{1}{2}a-\frac{1}{4}}\diff{t};;;
182;w_{1}(a,x)=e^{-\frac{1}{4}ix^{2}}\KummerM@{\tfrac{1}{4}-\tfrac{1}{2}ia}{\tfrac%{1}{2}}{\tfrac{1}{2}ix^{2}}=e^{\frac{1}{4}ix^{2}}\KummerM@{\tfrac{1}{4}+\tfrac%{1}{2}ia}{\tfrac{1}{2}}{-\tfrac{1}{2}ix^{2}},;;;
183;z=2^{\ifrac{-2}{3}}\epsilon\zeta-\epsilon^{-3};;;
184;z=\zeta^{2};;;
185;zv_{1}^{\prime}=2u_{0}-2u_{1}v_{1}^{2}-\theta_{\infty}v_{1};;;
186;"W(\zeta;\alpha_{0},\beta_{0},\gamma_{0},\delta_{0})=\frac{v-1}{v+1}";;;
187;\qHyperrphis{3}{2}@{a,b,q^{-n}}{c,\ifrac{abq^{1-n}}{c}}{q}{q}=\frac{%\qMultiPochhammer{\ifrac{c}{a},\ifrac{c}{b}}{q}{n}}{\qMultiPochhammer{c,\ifrac%{c}{(ab)}}{q}{n}}\)\@add@PDF@RDFa@triples\end{document};;;
188;\Sum{n}{0}{\infty}@{q^{n^{2}}a^{n}\beta_{n}}=\frac{1}{\qPochhammer{aq}{q}{%\infty}}\Sum{n}{0}{\infty}@{q^{n^{2}}a^{n}\alpha_{n}};;;
189;"\frac{\qPochhammer{q}{q}{a_{1}+a_{2}+\cdots+a_{n}}}{\qPochhammer{q}{q}{a_{1}}%\qPochhammer{q}{q}{a_{2}}\cdots\qPochhammer{q}{q}{a_{n}}}=\mbox{ coeff. of }x_%{1}^{0}x_{2}^{0}\cdots x_{n}^{0}\mbox{ in }\prod_{1\leq j&lt;k\leq n}\qPochhammer%{\frac{x_{j}}{x_{k}}}{q}{a_{j}}\qPochhammer{\frac{qx_{k}}{x_{j}}}{q}{a_{k}}";;;
190;\JacobiThetaTau{3}@{\pi z}{\tau}=\JacobiThetaTau{3}@{0}{\tau}\exp@{-\Sum{j}{1}%{\infty}@{\frac{1}{2j}\beta_{2j}(\tau)z^{2j}}};;;
191;\JacobiTheta{1}@{2z}{q}=2\frac{\JacobiTheta{1}@{z}{q}\JacobiTheta{2}@{z}{q}%\JacobiTheta{3}@{z}{q}\JacobiTheta{4}@{z}{q}}{\JacobiTheta{2}@{0}{q}%\JacobiTheta{3}@{0}{q}\JacobiTheta{4}@{0}{q}};;;
192;A\equiv A(\tau)=\ifrac{1}{\JacobiThetaTau{4}@{0}{2\tau}};;;
193;\threej@args{j_{1}}{j_{2}}{j_{3}}{m_{1}}{m_{2}}{m_{3}}=(-1)^{j_{1}+j_{2}+j_{3}%}\threej@args{j_{1}}{j_{2}}{j_{3}}{-m_{1}}{-m_{2}}{-m_{3}};;;
194;\sixj@args{j_{1}}{j_{2}}{j_{3}}{\frac{1}{2}}{j_{3}-\frac{1}{2}}{j_{2}-\frac{1}%{2}}=(-1)^{J}\left(\frac{(j_{2}+j_{3}-j_{1})(j_{1}+j_{2}+j_{3}+1)}{2j_{2}(2j_{%2}+1)2j_{3}(2j_{3}+1)}\right)^{\frac{1}{2}};;;
195;\PeriodicZeta@{x}{s}=\frac{\EulerGamma@{1-s}}{(2\pi)^{1-s}}\*\left(e^{\pi i%\ifrac{(1-s)}{2}}\HurwitzZeta@{1-s}{x}+e^{\pi i\ifrac{(s-1)}{2}}\HurwitzZeta@{%1-s}{1-x}\right);;;
196;"x+y&gt;2n";;;
197;|[k]^{n}(1\text{-}1)|=\binom{k}{n}n!=(k)_{n};;;
198;(1+2+\ldots+k+\ldots+(n-1));;;
199;1+\frac{1}{p^{2}}+\frac{1}{p^{4}}+\frac{1}{p^{6}}+\frac{1}{p^{8}}+\cdots=1-%\frac{1}{p^{2}},;;;
200;"x,\;1/x,\;1-x,\;1/(1-x),\;(x-1)/x,\;x/(x-1)";;;
201;"p(\pi_{n})=\sum_{\alpha}\;p_{n}(e_{\alpha})+q(\pi_{n})";;;
202;f=f(t,x,v);;;
203;\tensor{\xi}{\mu}{i}=\pm 1;;;
204;\overline{(\Delta H)^{2}}=\frac{1}{N}\sum_{i=1}^{N}[\langle\psi_{i}|H_{i}^{2}|%\psi_{i}\rangle-\langle\psi_{i}|H_{i}|\psi_{i}\rangle^{2}];;;
205;a_{ij}=1;;;
206;(f*g)(t)\stackrel{\mathrm{def}}{=}\int_{-\infty}^{\infty}f(\tau)g(t-\tau)d\tau;;;
207;\psi(a+b)=\infix{\widetilde{+}}{\psi(a)}{\psi(b)};;;
208;Q(N,M,aj,bj,q)=Q(M,N,bj,aj,q);;;
209;P=\operatorname{NP};;;
210;S(x)=3x+1;;;
211;F_{n+1}=\sum_{n=k+m}\binom{k}{m};;;
212;\mathcal{M};;;
213;\it L=i\bar{\Psi}{\gamma}^{\mu}{\partial}_{\mu}{\Psi}-\bar{\Psi}{\Psi}-q\bar{%\Psi}{\gamma}^{0}{\Psi}\Phi+{1\over 2}({\partial}_{\mu}\Phi)({\partial}^{\mu}\Phi);;;
214;Q_{J};;;
215;"L(\boldsymbol{x},\boldsymbol{y},\boldsymbol{p})=\sum_{i\in\mathcal{N}}\sum_{v&lt;%w:(v,i,w)\in\Gamma_{G^{\prime}}}\bigg{[}c_{i}y^{i}_{vw}+p(v,i,w)\Big{(}\sum_{t%\in T}x^{t}(v,i,w)-y^{i}_{vw}\Big{)}+p(w,i,v)\Big{(}\sum_{t\in T}x^{t}(w,i,v)-%y^{i}_{wv}\Big{)}\bigg{]}";;;
